id,publicId,title,description,date,link,videoTypeId
542429,469880-1,"Joe Biden Delivers Primary Remarks in Columbia, South Carolina",2020 Democratic presidential candidate Joe Biden held his primary night celebration at the University of South Carolina. He delivered remarks to supporters after being declared the winner of the South Carolina primary. Mr. Biden was introduced by House Majority Whip Jim Clyburn (D-SC).,2020-02-29,https://www.c-span.org/video/?469880-1/joe-biden-delivers-primary-remarks-columbia-south-carolina,Speech
542365,469867-1,"Joe Biden Campaign Event in Norfolk, Viriginia","Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke at a rally in Norfolk, Virginia, one of the states holding primaries on &ldquo;Super Tuesday&rdquo; on March 3.",2020-03-01,https://www.c-span.org/video/?469867-1/joe-biden-campaign-event-norfolk-viriginia,Speech
542475,469899-1,"Joe Biden Campaign Event in Houston, Texas","Former Vice President Joe Biden, a 2020 Democratic presidential candidate, held a campaign event at Texas Southern University, a historically black college in Houston. He spoke about his primary win in South Carolina, saying he hoped to have the same result when Texans headed to the polls on Super Tuesday. Mr. Biden also spoke on why he decided to run, citing President Trump&rsquo;s response to the events in Charlottesville, Virginia, in August 2017.",2020-03-02,https://www.c-span.org/video/?469899-1/joe-biden-campaign-event-houston-texas,Speech
542558,469953-2,"Pete Buttigieg and Joe Biden in Dallas, Texas","A day after suspending his 2020 Democratic presidential campaign, Pete Buttigieg endorsed former Vice President Joe Biden for the 2020 Democratic presidential nomination prior to a campaign event in Dallas. Following his endorsement, Mr. Buttiigeg urged his supporters to also support Mr. Biden&rsquo;s candidacy.",2020-03-02,https://www.c-span.org/video/?469953-2/pete-buttigieg-joe-biden-dallas-texas,Speech
542518,469928-1,Joe Biden in Dallas with Senator Amy Klobuchar,"Joe Biden, a 2020 Democratic presidential candidate, spoke at a community event in Dallas. The former vice president was joined by Senator Amy Klobuchar (D-MN) and former Representative Beto O&rsquo;Rourke (D-TX). During her speech, Senator Klobuchar announced the suspension of her own presidential candidacy and endorsed Mr. Biden. Mr. O&rsquo;Rourke, who suspended his campaign November 1, 2019, also endorsed Mr. Biden.",2020-03-02,https://www.c-span.org/video/?469928-1/joe-biden-dallas-senator-amy-klobuchar,Speech
542543,469947-1,Joe Biden Remarks in Los Angeles,"Joe Biden, a 2020 Democratic presidential candidate, made remarks in Los Angeles on the evening of the Super Tuesday primaries in 14 states. The former vice president was interrupted when two animal rights activists from the group Direct Action Everywhere ran up on stage, screaming and holding signs that read, &ldquo;Let Dairy Die.&rdquo; They were quickly removed by security.",2020-03-03,https://www.c-span.org/video/?469947-1/joe-biden-remarks-los-angeles,Speech
542643,470006-1,Joe Biden Remarks in Los Angeles,"Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke in Los Angeles one day after the 2020 Super Tuesday primaries in 14 states. He thanked supporters for their help in his campaign and said he was looking forward to upcoming contests in Michigan and other states.",2020-03-04,https://www.c-span.org/video/?470006-1/joe-biden-remarks-los-angeles,Speech
542755,470081-1,Joe Biden Campaign Event in St. Louis,"Former Vice President Joe Biden, a 2020 Democratic presidential candidate, spoke in St. Louis, Missouri, before the show-me state&rsquo;s March 10 primary election. He encouraged the audience to get out the vote and highlighted his record as vice president in the Obama administration.",2020-03-07,https://www.c-span.org/video/?470081-1/joe-biden-campaign-event-st-louis,Speech
542791,470101-1,Joe Biden Campaign Event in Detroit,"Joe Biden, a 2020 Democratic presidential candidate, held a campaign event in Detroit. He was introduced by Michigan Governor Gretchen Whitmer (D), and Senators Cory Booker (D-NJ) and Kamala Harris (D-CA), both former 2020 presidential candidates who endorsed Mr. Biden&rsquo;s campaign after ending their own bids. Mr. Biden thanked them for their support and spoke about the importance of winning the state of Michigan in its March 10 primary. Later, he highlighted the issues most important to his campaign, including improving America&rsquo;s international relationships.",2020-03-09,https://www.c-span.org/video/?470101-1/joe-biden-campaign-event-detroit,Speech
543000,470226-1,"Joe Biden Campaign Event in Columbus, Ohio","Joe Biden, a 2020 Democratic presidential candidate, made remarks on gun violence at an event in Columbus, Ohio, a week before the Buckeye State&rsquo;s primary. The former vice president was joined by Kris Brown, president of the Brady Campaign anti-gun violence group; Shannon Watts, founder of Moms Demand Action; and Ohio native Crystal Turner, whose two children were victims of gun violence.",2020-03-10,https://www.c-span.org/video/?470226-1/joe-biden-campaign-event-columbus-ohio,Speech
