id,publicId,title,description,date,link,videoTypeId
522082,458151-1,Vice President Pence Remarks to National Governors Association Luncheon,"Vice President Mike Pence and second lady Karen Pence spoke at a luncheon for the nation&rsquo;s governors, who were in Washington for the National Governor&rsquo;s Association winter meeting. NGA Chair Governor Steve Bullock also made remarks.",2019-02-22,https://www.c-span.org/video/?458151-1/vice-president-pence-remarks-national-governors-association-luncheon,Speech
522232,458234-101,"Vice President Pence Press Availability in Bogota, Colombia","Following a meeting with Acting President of Venezuela Juan Guaidó, Vice President Mike Pence spoke to reporters about the evolving situation there and pledged additional aid. He also appealed to the military to abandon the Maduro regime.",2019-02-25,https://www.c-span.org/video/?458234-101/vice-president-pence-press-availability-bogota-colombia,News Conference
522198,458229-1,Vice President Pence Meeting with Colombian and Venezuelan Leaders,Vice President Mike Pence met in Bogota with Colombian President Iván Duque Márquez and Acting President of Venezuela Juan Guaidó.,2019-02-25,https://www.c-span.org/video/?458229-1/vice-president-pence-meeting-colombian-venezuelan-leaders,Remarks
522204,458234-1,Vice President Pence in Colombia Delivers Remarks on Venezuela,"In remarks in Bogota, Colombia, Vice President Mike Pence condemned the most recent actions by the Nicolás Maduro-led regime in Venezuela, including the previous-weekend attack on an aid convoy trying to enter the country. He also pledgeed additional relief.",2019-02-25,https://www.c-span.org/video/?458234-1/vice-president-pence-colombia-delivers-remarks-venezuela,Speech
523349,458846-1,Border Security National Emergency Resolution Veto,"President Trump signed the first veto of his presidency by rejecting a resolution that would have terminated his national emergency declaration for the U.S.-Mexico border. Vice President Pence, Homeland Security Secretary Kirstjen Nielsen, Attorney General William Barr, several sheriffs from across the nation, and parents of victims killed by undocumented individuals joined the president in the Oval Office for the signing.",2019-03-15,https://www.c-span.org/video/?458846-1/border-security-national-emergency-resolution-veto,Speech
523663,459033-1,Vice President Pence Remarks on Border Security,,2019-03-21,https://www.c-span.org/video/?459033-1/vice-president-pence-remarks-border-security,Speech
523694,459033-101,Vice President Meeting with Georgia Public Officials on Border Security,Vice President Pence met with state officials in Atlanta to discuss border security.,2019-03-21,https://www.c-span.org/video/?459033-101/vice-president-meeting-georgia-public-officials-border-security,Meeting
524345,459413-1,Vice President Pence with Families of Detained Citgo Executives,Vice President Pence met with family members of six Citgo executives detained by disputed Venezuelan President Nicolas Maduro.,2019-04-02,https://www.c-span.org/video/?459413-1/vice-president-pence-families-detained-citgo-executives,Speech
525002,459796-1,Vice President Pence Remarks to Iowa Flood Victims,"Vice President Mike Pence visited Pacific Junction, Iowa and spoke to families, businesses, and the agricultural community impacted by severe flooding in the region.",2019-04-12,https://www.c-span.org/video/?459796-1/vice-president-pence-remarks-iowa-flood-victims,Speech
525924,460357-1,President Trump Observes National Day of Prayer,"President Trump, Vice President Pence, and the first and second ladies hosted an event recognizing National Prayer Day in the White House&rsquo;s Rose Garden. They delivered remarks and heard prayers from a variety of faith leaders. There was also a musical performance by a church choir featuring Jonathan Cain, keyboardist for the band Journey.",2019-05-02,https://www.c-span.org/video/?460357-1/president-trump-observes-national-day-prayer,Speech
527424,461263-1,Vice President Pence Meeting With Canadian Prime Minister Trudeau,"Vice President Mike Pence met with Canadian Prime Minister Justin Trudeau in Ottawa, to discuss trade, the situation in Venezuela and other issues.",2019-05-30,https://www.c-span.org/video/?461263-1/vice-president-pence-meeting-canadian-prime-minister-trudeau,Remarks
527439,461263-101,Vice President Pence and Canadian Prime Minister Trudeau Joint News Conference,"Vice President Mike Pence and Canadian Prime Minister Justin Trudeau held a joint news conference following bilateral talks on trade and other issues. Topics included the stalled USMCA trade agreement, Huawei and abortion laws in the U.S.",2019-05-30,https://www.c-span.org/video/?461263-101/vice-president-pence-canadian-prime-minister-trudeau-joint-news-conference,News Conference
527709,461430-1,Vice President and Second Lady Tour Storm Damage in Oklahoma,"Vice President Pence and Second Lady Karen Pence visit Tulsa, Oklahoma, to tour communities and speak to families affected by recent tornadoes in the region.",2019-06-04,https://www.c-span.org/video/?461430-1/vice-president-lady-tour-storm-damage-oklahoma,Public Affairs Event
527803,461468-1,Vice President Pence Remarks on D-Day 75th Anniversary,"Vice President Mike Pence spoke in Bedford, Virginia, at the National D-Day Memorial &ldquo;Final Salute&rdquo; 75th Anniversary Commemorative Ceremony.",2019-06-06,https://www.c-span.org/video/?461468-1/vice-president-pence-remarks-day-75th-anniversary,Speech
527847,461487-1,"Vice President Pence Remarks in York, Pennsylvania","Vice President Mike Pence talked about the Trump administration&rsquo;s record on jobs and the economy in a speech at JLS Automation on in York, Pennsylvania. He was introduced by Labor Secretary Alexander Acosta.",2019-06-06,https://www.c-span.org/video/?461487-1/vice-president-pence-remarks-york-pennsylvania,Speech
527909,461487-101,Vice President Pence Comments on Mexico Tariff Talks,"Vice President Mike Pence told reporters in York, Pennsylvania, that Mexico has to do more if it wants to avoid a five percent tariff on its goods beginning June 10, 2019. He also said he would update President Trump on the talks later that night.",2019-06-06,https://www.c-span.org/video/?461487-101/vice-president-pence-comments-mexico-tariff-talks,Speech
527848,461488-1,Vice President Pence on Tariff Talks with Mexico,"Before going to Bedford, Virginia, to commemorate the 75th anniversary of D-Day, Vice President Pence updated reporters on talks with Mexican officials to stem the flow of migrants as they face a threat of a five percent tariff beginning June 10, 2019.",2019-06-06,https://www.c-span.org/video/?461488-1/vice-president-pence-tariff-talks-mexico,Speech
527518,461325-1,President Trump Announces Second Term Run,"President Trump announced he was running for a second term during a campaign rally at the Amway Center in Orlando. Vice President Pence made opening remarks, and first lady Melania Trump introduced the President. Outgoing press secretary Sarah Sanders also made brief remarks.",2019-06-18,https://www.c-span.org/video/?461325-1/president-trump-announces-term-run,Speech
529393,462373-1,Vice President Pence Remarks to Christians United for Israel Conference,Vice President Pence addressed the Christians United for Israel summit. He spoke about the Trump administration&rsquo;s policies toward Israel and Iran.The vice president&rsquo;s remarks begin about 18 minutes into the program.,2019-07-08,https://www.c-span.org/video/?462373-1/vice-president-pence-remarks-christians-united-israel-conference,Speech
529800,462617-1,Vice President Pence at Immigrant Processing Center,"Vice President Mike Pence toured a McAllen, Texas, immigrant processing center along the U.S. southern border. He also made remarks to reporters.",2019-07-12,https://www.c-span.org/video/?462617-1/vice-president-pence-immigrant-processing-center,Speech
529801,462617-101,Vice President Pence Roundtable with Border Patrol Officials,Vice President Pence made remarks during a roundtable meeting with U.S. Border Patrol and Republican members of the Senate Judiciary Committee.,2019-07-12,https://www.c-span.org/video/?462617-101/vice-president-pence-roundtable-border-patrol-officials,Meeting
529848,462643-1,"President Trump in Greenville, North Carolina","President Trump held a campaign rally in Greenville, North Carolina, that included Vice President Mike Pence. The president mentioned congressional efforts to have him impeached and criticized four female freshman minority House members he recently tweeted about: Democratic Representatives Ilhan Omar (MN), Rashida Tlaib (MI), Alexandria Ocasio-Cortez (NY), and Ayanna Pressley (MA).The president used language that some may find offensive.",2019-07-17,https://www.c-span.org/video/?462643-1/president-trump-greenville-north-carolina,Speech
530223,462875-1,Vice President Pence Speech on Moon Landing 50th Anniversary,Vice President Mike Pence spoke about the 50th anniversary of the Apollo 11 Moon landing.,2019-07-20,https://www.c-span.org/video/?462875-1/vice-president-pence-speech-moon-landing-50th-anniversary,Speech
530443,463014-1,President Trump Participates in Pledge to America's Workers Celebration,"President Trump marked the one-year anniversary of the signing of the Pledge to America&rsquo;s Workers executive order aimed at creating more job training and opportunities for Americans. Speakers included Vice President Pence, Ivanka Trump and business leaders from Toyota and Lockheed Martin.",2019-07-25,https://www.c-span.org/video/?463014-1/president-trump-participates-pledge-americas-workers-celebration,Remarks
530435,463013-1,Secretary of Defense Mark Esper Welcome Ceremony,President Trump and Vice President Pence participated in a welcome ceremony at the Pentagon for Defense Secretary Mark Esper. He was confirmed as the 27th secretary of defense by the Senate with a 90-8 vote. Secretary Esper previously served as Army secretary from 2017 to 2019.,2019-07-25,https://www.c-span.org/video/?463013-1/secretary-defense-mark-esper-ceremony,Remarks
530525,463051-1,Vice President Pence Remarks on Workforce Development,"Vice President Pence made remarks on workforce development and apprenticeship opportunities to employees of Miller Electric in Jacksonville, Florida. The vice president was accompanied by Ivanka Trump, daughter and assistant to the president.",2019-07-26,https://www.c-span.org/video/?463051-1/vice-president-pence-remarks-workforce-development,Speech
530534,463051-101,Vice President Pence Remarks at Former Prison Inmates Job Training Roundtable,"Vice President Pence and Ivanka Trump, the assistant to the president, participated in a roundtable discussion on job skills training for those with a criminal history. The discussion took place at Operation New Hope in Jacksonville, Florida.",2019-07-26,https://www.c-span.org/video/?463051-101/vice-president-pence-remarks-prison-inmates-job-training-roundtable,Roundtable
530934,463293-1,Vice President Pence Fireside Religious Freedom Chat,"At an event on religious freedom, Vice President Mike Pence addressed the recent mass shootings in El Paso, Texas and Dayton, Ohio. The vice president reiterated the remarks of President Trump saying, &ldquo;Hate has no place in America, and the sinister ideologies of racism, bigotry and white supremacy must be defeated.&rdquo; He went on to say that &ldquo;justice will be swift and certain&rdquo; and the full resources of the federal government will be available to assist law enforcement with investigating the shootings.",2019-08-06,https://www.c-span.org/video/?463293-1/vice-president-pence-fireside-religious-freedom-chat,Speech
531983,463864-1,Vice President Pence Remarks at World War II 80th Anniversary Event,"Vice President Pence delivered remarks at an event in Warsaw, Poland, commemorating the 80th anniversary of the start of World War II. He was joined at the event by Frank-Walter Steinmeier, the German president, and Andrzej Duda, the Polish president.",2019-09-01,https://www.c-span.org/video/?463864-1/vice-president-pence-remarks-world-war-ii-80th-anniversary-event,Speech
532078,463918-1,"Vice President Pence Remarks at Business Roundtable in Dublin, Ireland","Vice President Mike Pence spoke at a meeting of American and Irish business leaders in Dublin, Ireland.",2019-09-03,https://www.c-span.org/video/?463918-1/vice-president-pence-remarks-business-roundtable-dublin-ireland,Remarks
532117,463942-1,"Vice President Pence Arrival in Shannon, Ireland","Vice President Pence and Second Lady Karen Pence arrived at Shannon Airport in Ireland, following official business in Dublin with Irish government leaders, including Prime Minister Leo Varadkar. The Pences stayed at President Trump&rsquo;s Doonbeg property.",2019-09-03,https://www.c-span.org/video/?463942-1/vice-president-pence-arrival-shannon-ireland,Public Affairs Event
532080,463919-1,Vice President Pence News Conference With Irish Prime Minister Varadkar,Vice President Mike Pence and Irish Prime Minister Leo Varadkar spoke to reporters at a joint appearance in Dublin.,2019-09-03,https://www.c-span.org/video/?463919-1/vice-president-pence-news-conference-irish-prime-minister-varadkar,News Conference
532158,463972-1,"Vice President Pence Speaks to Reporters in Dublin, Ireland","Vice President Pence spoke briefly to reporters in Dublin, Ireland, following meetings with business leaders and Irish Prime Minister Leo Varadkar. The vice president discussed U.S.-Ireland relations, Brexit negotiations, and his decision to stay at President Trump&rsquo;s property in Doonbeg, Ireland.",2019-09-03,https://www.c-span.org/video/?463972-1/vice-president-pence-speaks-reporters-dublin-ireland,Speech
532165,463969-101,Vice President Pence Remarks at U.S.-Iceland Trade and Investment Roundtable,"Vice President Mike Pence participated in a roundtable on U.S.-Iceland trade and investment in Reykjavik, Iceland.",2019-09-04,https://www.c-span.org/video/?463969-101/vice-president-pence-remarks-us-iceland-trade-investment-roundtable,Roundtable
532155,463969-1,Vice President Pence Meeting with Icelandic President Johannesson,Vice President Mike Pence met with Icelandic Presdient Gudni Johannesson in Reykjavik.,2019-09-04,https://www.c-span.org/video/?463969-1/vice-president-pence-meeting-icelandic-president-johannesson,Remarks
532156,463970-1,"Vice President Pence Comments to Reporters in Reykjavik, Iceland","Vice President Pence spoke to reporters outside Hofdi House in Reykjavik, Iceland, where then President Ronald Reagan met with Soviet Leader Mikhail Gorbachev in 1986. Topics include Brexit, and international tensions in the Arctic region.",2019-09-04,https://www.c-span.org/video/?463970-1/vice-president-pence-comments-reporters-reykjavik-iceland,Remarks
532157,463971-1,Vice President Pence Meeting with Icelandic Prime Minister Jakobsdottir,Vice President Pence met briefly with Icelandic Prime Minister Katrin Jakobsdottir at Keflavik Airport in Reykjavik.,2019-09-04,https://www.c-span.org/video/?463971-1/vice-president-pence-meeting-icelandic-prime-minister-jakobsdottir,Speech
532282,464015-101,Vice President Pence Arrival at Lord Mayor's Trade Dinner in London,Vice President Mike Pence and Second Lady Karen arrived at the Lord Mayor&rsquo;s International Trade Dinner at the Guildhall in London. The vice president declined to respond to reporters' questions about his confidence in Prime Minister Boris Johnson.,2019-09-05,https://www.c-span.org/video/?464015-101/vice-president-pence-arrival-lord-mayors-trade-dinner-london,Appearance
532235,464011-1,Vice President Pence Meeting with British Prime Minister Boris Johnson,"Vice President Pence met with British Prime Minister Boris Johnson the day after the U.K.'s top politician lost two key votes in his House of Commons, one that bars him from steering Britain out of the European Union without a deal struck with leaders in Brussels and another that would&rsquo;ve authorized a general election. Vice President Pence said the U.S. supported the U.K. in its efforts to leave the E.U. and was looking forward to working on a free trade agreement following Britain&rsquo;s exit. Prime Minister Johnson said he hoped such a deal would lift current regulations stymieing the export of beef, lamb and other agricultural products to the U.S. and thanked the vice president for his support.",2019-09-05,https://www.c-span.org/video/?464011-1/vice-president-pence-meeting-british-prime-minister-boris-johnson,Speech
532244,464015-1,Vice President Pence at Lord Mayor's International Trade Dinner,Vice President Mike Pence delivered remarks at the Lord Mayor&rsquo;s International Trade Dinner at the Guildhall in London.,2019-09-05,https://www.c-span.org/video/?464015-1/vice-president-pence-lord-mayors-international-trade-dinner,Speech
532162,463975-1,"President Trump in Fayetteville, North Carolina","President Trump held a rally in Fayetteville, North Carolina, one day before a special election in the state&rsquo;s 9th Congressional District.",2019-09-09,https://www.c-span.org/video/?463975-1/president-trump-fayetteville-north-carolina,Speech
533146,464555-1,Presidential Remarks on Religious Freedom,"President Trump, in New York City for the annual United Nations General Assembly, spoke about religious freedom. He announced the U.S. would pledge $25 million in aid to protect religious freedom, sites, and relics. U.S. Ambassador to the U.N. Kelly Knight Craft and Vice President Pence also spoke before the president.",2019-09-23,https://www.c-span.org/video/?464555-1/presidential-remarks-religious-freedom,Speech
533606,464799-1,President Trump Remarks at Hispanic Heritage Month Reception,"President Trump delivered remarks at a Hispanic Heritage Month reception at the White House. The president spoke about job and wage increases for Hispanic Americans, home ownership and border protection. Vice President Mike Pence also delivered brief remarks.",2019-09-27,https://www.c-span.org/video/?464799-1/president-trump-remarks-hispanic-heritage-month-reception,Speech
533667,464834-1,New Chair of Joint Chiefs of Staff General Milley Swearing-in Ceremony,"President Trump attended the swearing-in ceremony for his new Joint Chiefs of Staff xhair, General Mark Milley, at Joint Base Myer-Henderson Hall in Arlington, Virginia. Vice President Pence, outgoing Joint Chiefs of Staff General Dunford, and Defense Secretary Mark Esper also attended the ceremony.",2019-09-30,https://www.c-span.org/video/?464834-1/chair-joint-chiefs-staff-general-milley-swearing-ceremony,Speech
534081,465073-1,Vice President Pence Town Hall on USMCA Trade Deal,"Vice President Pence made remarks in Waukee, Iowa, at an event hosted by America&rsquo;s First Policies on the U.S.-Mexico-Canada Agreement (USMCA). He talked about the economic growth and employment opportunities that the USMCA will spur in the country. He also urged the Democrats in Congress to &ldquo;put politics aside and pass the USMCA&rdquo; instead of &ldquo;spending all of their time on endless investigations and partisan impeachment.&rdquo;",2019-10-09,https://www.c-span.org/video/?465073-1/vice-president-pence-town-hall-usmca-trade-deal,Meeting
